Atraid 0610007C21Rik
Snhg18 0610007N19Rik
Hikeshi 0610007P06Rik
Ercc6l2 0610007P08Rik
Erg28 0610007P14Rik
Tsr3 0610007P22Rik
Hnf4aos 0610008F07Rik
Sf3b6 0610009D07Rik
Mul1 0610009K11Rik
Mfsd10 0610009O03Rik
Hoga1 0610010D20Rik
Ccdc88c 0610010D24Rik
Brox 0610010K06Rik
Cystm1 0610010O12Rik
Mettl26 0610011F06Rik
Tmem176a 0610011I04Rik
Aar2 0610011L14Rik
Aspdh 0610012D14Rik
Rnft1 0610013E23Rik
Memo1 0610016J10Rik
Neurl4 0610025P10Rik
Glmp 0610031J06Rik
Rbm43 0610033I05Rik
Ccdc163 0610037D15Rik
Trmt112 0610038D11Rik
Sdhaf2 0610038F07Rik
Pbld1 0610038K03Rik
Cwc15 0610040D20Rik
Acta2 0610041G09Rik
Rmnd1 0610042C05Rik
Isoc2b 0610042E07Rik
Naxd 0710008K08Rik
Lamtor4 0910001L09Rik
Wfdc21 1100001G20Rik
Plbd1 1100001H23Rik
Rpl34 1100001I22Rik
Ska2 1110001A07Rik
Fmc1 1110001J03Rik
Sptssa 1110002B05Rik
Tomm6 1110002E23Rik
Mymk 1110002H13Rik
Tefm 1110002N22Rik
Smim14 1110003E01Rik
Mettl23 1110005A03Rik
Sarnp 1110005A23Rik
Fam98c 1110006G06Rik
Mcmbp 1110007A13Rik
Card19 1110007C09Rik
Tmem140 1110007F12Rik
Get4 1110007L15Rik
Ndufaf4 1110007M04Rik
Rita1 1110008J03Rik
Mvb12a 1110012M11Rik
Rrp7a 1110014J01Rik
Lce1c 1110014K05Rik
Ppp1r21 1110018J12Rik
Fibin 1110018M03Rik
Tomm5 1110019J04Rik
Haus7 1110020L19Rik
Uqcr10 1110020P15Rik
Fitm1 1110028A07Rik
Kansl1l 1110028C15Rik
Snap47 1110031B06Rik
Ogfod3 1110031I02Rik
Sptssb 1110032A04Rik
Tyw5 1110034B05Rik
Ppp4r3a 1110034C04Rik
P3h4 1110036O03Rik
Virma 1110037F02Rik
Ldah 1110057K04Rik
Sdhaf4 1110058L19Rik
Prr32 1110059M19Rik
Urah 1190003J15Rik
Lrwd1 1200011O22Rik
Sash3 1200013B08Rik
Naa60 1200013P24Rik
Ncbp3 1200014J11Rik
Poc5 1200014M14Rik
Tprgl 1200015A19Rik
Rmdn3 1200015F23Rik
Fam13c 1200015N20Rik
Cluh 1300001I01Rik
Lonp2 1300002A08Rik
Tmem183a 1300007B12Rik
Abhd15 1300007F04Rik
Vwa8 1300010F03Rik
Retreg3 1300010M03Rik
Plbd2 1300012G16Rik
Slc47a1 1300013J15Rik
Cmtr1 1300018I05Rik
Vps9d1 1300018I17Rik
Selenoo 1300018J18Rik
Srrm4 1500001A10Rik
Tamm41 1500001M20Rik
Chp1 1500003O03Rik
Rrp8 1500003O22Rik
Pik3ip1 1500004A08Rik
Hspbp1 1500019G21Rik
Dda1 1500034J01Rik
Ift46 1500035H01Rik
Wdr83 1500041N16Rik
Tedc2 1600002H07Rik
Hhipl1 1600002O04Rik
Celf1 1600010O03Rik
Yae1d1 1600012F09Rik
Erv3 1600014E20Rik
Fbln7 1600015H20Rik
Plet1 1600029D21Rik
Parp14 1600029O10Rik
Cfap206 1700003M02Rik
Ccdc7b 1700008F21Rik
Tcp11x2 1700008I05Rik
Tescl 1700008P20Rik
Cfap126 1700009P17Rik
Dnal1 1700010H15Rik
Krt88 1700011A15Rik
Sp3os 1700011J10Rik
Rab10os 1700012B15Rik
Osgin1 1700012B18Rik
Ube2d2b 1700013N18Rik
Prss37 1700016G05Rik
Btbd35f1 1700017G21Rik
Nat8f4 1700019G17Rik
Cfap157 1700019L03Rik
Catsperz 1700019N12Rik
Tbata 1700021K02Rik
Rubcn 1700021K19Rik
Cir1 1700023B02Rik
Kcnk10 1700024D23Rik
Fyb2 1700024P16Rik
Cfap161 1700026D08Rik
Spaca9 1700026L06Rik
Eid3 1700027M21Rik
Vps50 1700034M03Rik
Cabcoco1 1700040L02Rik
Zfp974 1700049G17Rik
Armt1 1700052N19Rik
Pom121l12 1700054H16Rik
Aldh3b3 1700055N04Rik
Dusp21 1700094E07Rik
Cfap77 1700101E01Rik
Prss46 1700112C13Rik
Zg16 1810010M01Rik
Tcim 1810011O10Rik
Eapp 1810011O16Rik
Atg2a 1810013C15Rik
Fuom 1810014F10Rik
Retreg1 1810015C04Rik
Kdf1 1810019J16Rik
Aamdc 1810020D17Rik
Cox16 1810020G14Rik
Tmem218 1810021J13Rik
Eci3 1810022C23Rik
Ifi27l2b 1810023F06Rik
Timm29 1810026J23Rik
Tma16 1810029B16Rik
Mptx1 1810030J14Rik
Smim8 1810030N24Rik
Cnppd1 1810031K17Rik
Mdp1 1810034K20Rik
Slirp 1810035L17Rik
Gkn2 1810036H07Rik
Fam3a 1810037C20Rik
Psmg3 1810042K04Rik
Ndufaf8 1810043H04Rik
Mien1 1810046J19Rik
Ufsp2 1810047C23Rik
Pcnx4 1810048J11Rik
Rab43 1810048P08Rik
Oxld1 1810049H13Rik
Ttc39b 1810054D07Rik
Lin37 1810054G18Rik
Coa6 1810063B05Rik
Saysd1 1810063B07Rik
Fam114a2 1810073G14Rik
Slc38a10 1810073N04Rik
Mfsd4b2 2010001E11Rik
Ifit1bl2 2010002M12Rik
Smim3 2010002N04Rik
Gatc 2010003O18Rik
Il34 2010004A03Rik
Tmub2 2010008E23Rik
Fam210b 2010011I20Rik
Magohb 2010012C16Rik
Borcs7 2010012O05Rik
Cfap74 2010015L04Rik
Romo1 2010100O12Rik
Sppl2a 2010106G01Rik
Fam241b 2010107G23Rik
Ccdc71l 2010109K11Rik
Chp2 2010110P09Rik
Chpf2 2010209O12Rik
Aplf 2010301N04Rik
Coa7 2010305A19Rik
Tlcd2 2010305C02Rik
Fam136a 2010309E21Rik
Tmem120a 2010310D06Rik
Mmadhc 2010311D03Rik
Use1 2010315L10Rik
Ints14 2010321M09Rik
Pdxdc1 2210010A19Rik
Mfsd6 2210010L05Rik
Tecpr1 2210010N04Rik
Tceanc2 2210012G02Rik
Spns1 2210013K02Rik
Nbdy 2210013O21Rik
Emsy 2210018M11Rik
Cdpf1 2210021J22Rik
Ces2g 2210023G05Rik
Rasl10a 2210403B10Rik
Kalrn 2210407G14Rik
Abhd17c 2210412D01Rik
Lypd8 2210415F13Rik
Rep15 2210417D09Rik
Crct1 2300002G24Rik
Asprv1 2300003P22Rik
Apmap 2310001A20Rik
Zfp932 2310001H12Rik
Cysrt1 2310002J15Rik
Hypk 2310003F16Rik
Faap100 2310003H01Rik
Ndufaf5 2310003L22Rik
Adprm 2310004I24Rik
Dmac2 2310004L02Rik
Ten1 2310004N24Rik
Akr1b10 2310005E10Rik
Cox20 2310005N03Rik
Eepd1 2310005P05Rik
Aagab 2310007F21Rik
Lhpp 2310007H09Rik
Spidr 2310008H04Rik
Knop1 2310008H09Rik
Ostc 2310008M10Rik
Fggy 2310009E04Rik
Chmp4c 2310010I16Rik
Ppp1r18 2310014H01Rik
Rnf225 2310014L17Rik
Mrln 2310015B20Rik
Ttc28 2310015L07Rik
Ccdc90b 2310015N07Rik
Hilpda 2310016C08Rik
Gpx8 2310016C16Rik
Ost4 2310016E02Rik
Apol9b 2310016F22Rik
Cox14 2310016M24Rik
Psapl1 2310020A21Rik
Haus5 2310022K01Rik
Fam89a 2310031A18Rik
Ap5s1 2310035K24Rik
Pdxk 2310036D04Rik
Trir 2310036O22Rik
Kansl2 2310037I24Rik
Mettl21a 2310038H17Rik
Cavin4 2310039E09Rik
Fam83g 2310040C09Rik
Teddm3 2310042E22Rik
Prelid3b 2310042G06Rik
Ccdc134 2310042L06Rik
Krtap1-5 2310043L02Rik
Cipc 2310044G17Rik
Emc10 2310044H10Rik
Sel1l3 2310045A20Rik
Borcs8 2310045N01Rik
Slc52a3 2310046K01Rik
Swsap1 2310047B19Rik
Borcs6 2310047M10Rik
Mindy3 2310047O13Rik
Ctsll3 2310051M13Rik
Fam162a 2310056P07Rik
Enoph1 2310057D15Rik
Cmc2 2310061C15Rik
Ripor1 2310066E14Rik
Tmem94 2310067B10Rik
Plin5 2310076L09Rik
Trmt44 2310079F23Rik
Ntpcr 2310079N02Rik
Lamtor1 2400001E08Rik
Ist1 2400003C14Rik
Suds3 2400003N08Rik
Rangrf 2400006H24Rik
Lmf1 2400010G15Rik
Rtf2 2410001C21Rik
Tepsin 2410002I01Rik
Trappc13 2410002O22Rik
Nsmce4a 2410003A14Rik
Tdrd12 2410004F06Rik
Haus8 2410004L22Rik
Rmdn1 2410005O16Rik
Zswim7 2410012H22Rik
Mlec 2410014A08Rik
Dctpp1 2410015N17Rik
Gtf3c6 2410016F19Rik
Riox1 2410016O06Rik
Cep57l1 2410017P07Rik
Fam53a 2410018C17Rik
Mri1 2410018C20Rik
